Requirement ID,Module/Category,Requirement Description,Priority,Acceptance Criteria,Test Case ID,Test Scenario,Design Component,Implementation Status,Test Status
REQ-017,Request Processing,System shall calculate due date using configurable turnaround time,High,Due date reflects configured SLA for request type and priority,TC-017,Verify due date calculation matches configured SLA rules,SLA Configuration Service,Completed,Passed
REQ-018,Request Processing,System shall allow edits only when status is 'Submitted',High,Edit functionality disabled for requests beyond 'Submitted' status,TC-018,Verify requests cannot be edited after status changes from Submitted,Edit Authorization Logic,Completed,Passed
REQ-019,Request Processing,System shall allow closure only for fulfilled requests,High,Close action available only when status is 'Fulfilled',TC-019,Verify closure is prevented for non-fulfilled requests,Closure Validation Logic,Completed,Passed
REQ-020,Request Register,System shall display Request ID in register,High,Request ID visible in request list view,TC-020,Verify Request ID column displays in request register,Request Register UI,Completed,Passed
REQ-021,Request Register,System shall display Request Type in register,High,Request Type visible in request list view,TC-021,Verify Request Type column displays in request register,Request Register UI,Completed,Passed
REQ-022,Request Register,System shall display Requester name in register,High,Requester name visible in request list view,TC-022,Verify Requester column displays in request register,Request Register UI,Completed,Passed
REQ-023,Request Register,System shall display Created Date in register,High,Created Date visible in request list view,TC-023,Verify Created Date column displays in request register,Request Register UI,Completed,Passed
REQ-024,Request Register,System shall display Target Resolution Date in register,High,Target Resolution Date visible in request list view,TC-024,Verify Target Resolution Date column displays in request register,Request Register UI,Completed,Passed
REQ-025,Request Register,System shall display Current Status in register,High,Current Status visible in request list view,TC-025,Verify Status column displays in request register,Request Register UI,Completed,Passed
REQ-026,Request Register,System shall provide filter by request type,Medium,Users can filter register by one or more request types,TC-026,Verify request type filter works correctly,Filter Component,Completed,Passed
REQ-027,Request Register,System shall provide filter by status,Medium,Users can filter register by one or more statuses,TC-027,Verify status filter works correctly,Filter Component,Completed,Passed
REQ-028,Request Register,System shall provide filter by priority,Medium,Users can filter register by Low/Medium/High priority,TC-028,Verify priority filter works correctly,Filter Component,Completed,Passed
REQ-029,Request Register,System shall provide filter by date range,Medium,Users can filter register by specifying from and to dates,TC-029,Verify date range filter works correctly,Filter Component,Completed,Passed
REQ-030,Request Register,System shall provide search functionality,Medium,Users can search requests by keyword across relevant fields,TC-030,Verify search returns matching requests based on keyword,Search Service,Completed,Passed
REQ-031,Fulfillment & Closure,System shall allow approvers to review request details,High,Approvers can view complete request information,TC-031,Verify approvers can access and view request details,Request Detail View,Completed,Passed
REQ-032,Fulfillment & Closure,System shall allow approvers to approve requests,High,Approvers can approve requests and status updates to 'Approved',TC-032,Verify approve action updates status correctly,Approval Action Handler,Completed,Passed
REQ-033,Fulfillment & Closure,System shall allow approvers to reject requests,High,Approvers can reject requests and status updates to 'Rejected',TC-033,Verify reject action updates status correctly,Rejection Action Handler,Completed,Passed
REQ-034,Fulfillment & Closure,System shall allow approvers to add comments during approval/rejection,Medium,Comment field available during approve/reject action,TC-034,Verify comments can be added during approval or rejection,Comment Component,Completed,Passed
REQ-035,Fulfillment & Closure,System shall allow handlers to mark request as fulfilled,High,Fulfill action available and updates status to 'Fulfilled',TC-035,Verify fulfill action updates status correctly,Fulfillment Action Handler,Completed,Passed
REQ-036,Fulfillment & Closure,System shall make closed requests readonly,High,Closed requests cannot be modified by any user,TC-036,Verify closed requests are readonly and prevent modifications,Access Control Logic,Completed,Passed
REQ-037,Fulfillment & Closure,System shall maintain history for closed requests,High,All request history and comments remain accessible after closure,TC-037,Verify history and comments are visible for closed requests,Audit Trail Service,Completed,Passed
REQ-038,Acknowledgement & Export,System shall generate Request Summary document,Medium,Summary includes request details approval dates fulfillment dates and final status,TC-038,Verify Request Summary contains all required information,Summary Generator Service,Completed,Passed
REQ-039,Acknowledgement & Export,System shall export Request Summary as PDF,Medium,PDF export generates properly formatted document,TC-039,Verify PDF export generates correctly formatted summary,PDF Export Service,Completed,Passed
REQ-040,Acknowledgement & Export,System shall export request data as CSV,Medium,CSV export includes all relevant request fields,TC-040,Verify CSV export generates with correct data and format,CSV Export Service,Completed,Passed
REQ-041,Acknowledgement & Export,System shall export request data as Excel,Medium,Excel export includes all relevant request fields with proper formatting,TC-041,Verify Excel export generates with correct data and formatting,Excel Export Service,Completed,Passed
REQ-042,Non-Functional,System shall ensure data security and access control,Critical,Only authorized users can access and modify requests,TC-042,Verify role-based access control is enforced,Security Module,Completed,Passed
REQ-043,Non-Functional,System shall provide audit trail for all actions,High,All create/update/approve/reject/fulfill/close actions are logged,TC-043,Verify audit log captures all critical actions with timestamp and user,Audit Logger,Completed,Passed
REQ-044,Non-Functional,System shall support concurrent users,High,Multiple users can create and process requests simultaneously,TC-044,Verify system handles concurrent requests without data corruption,Concurrency Handler,Completed,Passed
REQ-045,Non-Functional,System shall validate all user inputs,High,Invalid data is rejected with clear error messages,TC-045,Verify input validation works for all form fields,Validation Service,Completed,Passed
REQ-046,Configuration,System shall allow configuration of turnaround time per request type,Medium,Admin can define SLA days for each request type and priority combination,TC-046,Verify turnaround time configuration is editable and applied correctly,SLA Configuration UI,Completed,Passed
REQ-047,Configuration,System shall allow configuration of approval requirements per request type,Medium,Admin can specify which request types require approval,TC-047,Verify approval requirement settings work for each request type,Approval Configuration UI,Completed,Passed
REQ-048,Notifications,System shall notify approvers when request is pending their action,Low,Approvers receive notification for requests requiring their review,TC-048,Verify notification is sent to approvers for pending requests,Notification Service,Completed,Passed
REQ-049,Notifications,System shall notify requesters when request status changes,Low,Requesters receive notification on status updates,TC-049,Verify notification is sent to requester on status changes,Notification Service,Completed,Passed
REQ-050,Reporting,System shall provide dashboard view of request metrics,Low,Dashboard shows summary of requests by status type and priority,TC-050,Verify dashboard displays correct metrics and statistics,Dashboard Component,Completed,Passed
